Ticker;Name;Category
BTC-USD;Bitcoin USD;Crypto
ETH-USD;Ethereum USD;Crypto
USDT-USD;Tether USD;Crypto
USDC-USD;USD Coin USD;Crypto
BNB-USD;Binance Coin USD;Crypto
BUSD-USD;Binance USD USD;Crypto
ADA-USD;Cardano USD;Crypto
XRP-USD;XRP USD;Crypto
SOL-USD;Solana USD;Crypto
DOGE-USD;Dogecoin USD;Crypto
DAI-USD;Dai USD;Crypto
DOT-USD;Polkadot USD;Crypto
WTRX-USD;Wrapped TRON USD;Crypto
HEX-USD;HEX USD;Crypto
TRX-USD;TRON USD;Crypto
LEO-USD;UNUS SED LEO USD;Crypto
SHIB-USD;SHIBA INU USD;Crypto
WBTC-USD;Wrapped Bitcoin USD;Crypto
AVAX-USD;Avalanche USD;Crypto
YOUC-USD;yOUcash USD;Crypto
MATIC-USD;Polygon USD;Crypto
LTC-USD;Litecoin USD;Crypto
STETH-USD;Lido stETH USD;Crypto
UNI1-USD;Uniswap USD;Crypto
FTT-USD;FTX Token USD;Crypto
CRO-USD;Crypto.com Coin USD;Crypto
LINK-USD;Chainlink USD;Crypto
XLM-USD;Stellar USD;Crypto
NEAR-USD;NEAR Protocol USD;Crypto
ATOM-USD;Cosmos USD;Crypto
ALGO-USD;Algorand USD;Crypto
XMR-USD;Monero USD;Crypto
BTCB-USD;Bitcoin BEP2 USD;Crypto
ETC-USD;Ethereum Classic USD;Crypto
BCH-USD;Bitcoin Cash USD;Crypto
XCN1-USD;Chain USD;Crypto
VET-USD;VeChain USD;Crypto
MANA-USD;Decentraland USD;Crypto
FLOW-USD;Flow USD;Crypto
TONCOIN-USD;Toncoin USD;Crypto
APE3-USD;ApeCoin USD;Crypto
FRAX-USD;Frax USD;Crypto
SAND-USD;The Sandbox USD;Crypto
HBAR-USD;Hedera USD;Crypto
ICP-USD;Internet Computer USD;Crypto
XTZ-USD;Tezos USD;Crypto
FIL-USD;Filecoin USD;Crypto
TUSD-USD;TrueUSD USD;Crypto
THETA-USD;THETA USD;Crypto
AXS-USD;Axie Infinity USD;Crypto
EGLD-USD;Elrond USD;Crypto
HNT-USD;Helium USD;Crypto
WBNB-USD;Wrapped BNB USD;Crypto
BSV-USD;Bitcoin SV USD;Crypto
USDP-USD;Pax Dollar USD;Crypto
KCS-USD;KuCoin Token USD;Crypto
EOS-USD;EOS USD;Crypto
MKR-USD;Maker USD;Crypto
LUNA1-USD;Terra USD;Crypto
AAVE-USD;Aave USD;Crypto
ZEC-USD;Zcash USD;Crypto
USDN-USD;Neutrino USD USD;Crypto
BTT2-USD;BitTorrent (new) USD;Crypto
HBTC-USD;Huobi BTC USD;Crypto
MIOTA-USD;IOTA USD;Crypto
OKB-USD;OKB USD;Crypto
XEC-USD;eCash USD;Crypto
USDD-USD;USDD USD;Crypto
KLAY-USD;Klaytn USD;Crypto
HT-USD;Huobi Token USD;Crypto
QNT-USD;Quant USD;Crypto
GRT1-USD;The Graph USD;Crypto
FTM-USD;Fantom USD;Crypto
BAT-USD;Basic Attention Token USD;Crypto
BTT-USD;BitTorrent USD;Crypto
RUNE-USD;THORChain USD;Crypto
PAXG-USD;PAX Gold USD;Crypto
NEO-USD;Neo USD;Crypto
WAVES-USD;Waves USD;Crypto
CHZ-USD;Chiliz USD;Crypto
